"period","N","V"
"1650-1749",13,10
"1650-1749",14,10
"1650-1749",15,10
"1650-1749",16,10
"1650-1749",17,10
"1650-1749",18,10
"1650-1749",19,10
"1650-1749",20,10
"1650-1749",21,10
"1650-1749",22,10
"1650-1749",23,10
"1650-1749",24,10
"1650-1749",25,10
"1650-1749",26,11
"1650-1749",27,11
"1650-1749",28,12
"1650-1749",29,13
"1650-1749",30,13
"1650-1749",31,13
"1650-1749",32,13
"1650-1749",33,14
"1650-1749",34,14
"1650-1749",35,15
"1650-1749",36,15
"1650-1749",37,15
"1650-1749",38,15
"1650-1749",39,15
"1650-1749",40,15
"1650-1749",41,15
"1650-1749",42,15
"1650-1749",43,15
"1650-1749",44,15
"1650-1749",45,15
"1650-1749",46,15
"1650-1749",47,15
"1650-1749",48,15
"1650-1749",49,15
"1650-1749",50,15
"1650-1749",51,15
"1650-1749",52,15
"1650-1749",53,15
"1650-1749",54,15
"1650-1749",55,16
"1650-1749",56,16
"1650-1749",57,16
"1650-1749",58,16
"1650-1749",59,17
"1650-1749",60,17
"1650-1749",61,18
"1650-1749",62,18
"1650-1749",63,19
"1650-1749",64,19
"1650-1749",65,19
"1650-1749",66,19
"1650-1749",67,19
"1650-1749",68,19
"1650-1749",69,19
"1650-1749",70,19
"1650-1749",71,19
"1650-1749",72,19
"1650-1749",73,19
"1650-1749",74,19
"1650-1749",75,19
"1650-1749",76,19
"1650-1749",77,19
"1650-1749",78,19
"1650-1749",79,19
"1650-1749",80,19
"1650-1749",81,19
"1650-1749",82,19
"1650-1749",83,19
"1650-1749",84,19
"1650-1749",85,19
"1650-1749",86,19
"1650-1749",87,19
